Bear,Sex,Age, Date ,General Location,Capture type,Release Site,Handler,Year
1050,Male,Adult,4/25/22,"Greybull River, Pr-WY",Management,Removed (202203),WYGFD,2022
1059,Male,Adult,5/4/22,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2022
1060,Male,Adult,5/21/22,"Beam Gulch, SNF",Research,On site,WYGFD,2022
1061,Male,Adult,5/21/22,"Gravelbar Crk, SNF",Research,On site,WYGFD,2022
1061,Male,Adult,5/29/22,"Gravelbar Crk, SNF",Research,On site,WYGFD,2022
989,Female,Adult,5/21/22,"Crow Crk, CTNF",Management,Removed (202205),IDFG,2022
Unm202201,Male,Yearling,5/21/22,"Crow Crk, CTNF",Management,Removed (202206),IDFG,2022
1062,Female,Adult,5/22/22,"Sunlight Crk, SNF",Research,On site,WYGFD,2022
516,Male,Adult,5/24/22,"Beam Gulch, SNF",Research,On site,WYGFD,2022
998,Female,Adult,5/25/22,"Crow Crk, CTNF",Management,Removed (202209),IDFG,2022
Unm202202,Female,Yearling,5/24/22,"Crow Crk, CTNF",Management,Removed (202210),IDFG,2022
Unm202203,Male,Yearling,5/24/22,"Crow Crk, CTNF",Management,Removed (202211),IDFG,2022
994,Male,Adult,5/26/22,"Snake River, GTNP",Research,On site,IGBST,2022
G275,Male,Subadult,5/27/22,"Ghost Crk, SNF",Research,On site,WYGFD,2022
G275,Male,Subadult,5/30/22,"Ghost Crk, SNF",Research,On site,WYGFD,2022
G276,Male,Adult,5/28/22,"Sunlight Crk, SNF",Research,On site,WYGFD,2022
1063,Female,Subadult,5/29/22,"Pilgrim Crk, GTNP",Research,On site,IGBST,2022
1063,Female,Subadult,6/6/22,"Snake River, GTNP",Research,On site,IGBST,2022
1064,Female,Subadult,6/3/22,"Pacific Crk, GTNP",Research,On site,IGBST,2022
1065,Female,Subadult,6/9/22,"Deadman Crk, SNF",Research,On site,WYGFD,2022
1019,Male,Adult,6/17/22,"Snake River, GTNP",Research,On site,IGBST,2022
1066,Male,Adult,6/20/22,"Lizard Crk, GTNP",Research,On site,IGBST,2022
Unm202204,Female,Subadult,6/21/22,"Beartooth Crk, SNF",Management,Removed (202224),IGBST,2022
794,Male,Adult,6/22/22,"Pilgrim Crk, GTNP",Research,On site,IGBST,2022
Unm202205,Male,Adult,6/24/22,"Sheep Crk, Pr-WY",Management,Removed (202225),WYGFD,2022
940,Male,Adult,6/27/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,7/6/22,"Howard Crk, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,7/27/22,"East Dry Crk, CTNF",Research,On site,IDFG,2022
1068,Male,Subadult,7/8/22,"Wagon Crk, BTNF",Management,Transported,WYGFD,2022
G277,Male,Subadult,7/9/22,"Henrys Fork, CTNF",Research,On site,IDFG,2022
