Bear,Sex,Age,Offspring,Out of den,Into den,Current status,Column1,Year
314,Male,Adult,,No,No,Vehicle strike-dead,,2022
373,Male,Adult,,No,Yes,Active,,2022
409,Female,Adult,"3 yearlings, 1 lost",Yes,No,Cast,,2022
419,Male,Adult,,No,Yes,Active,,2022
424,Male,Adult,,Yes,No,Cast,,2022
460,Male,Adult,,Yes,No,Cast,,2022
476,Female,Adult,None,Yes,Yes,Active,,2022
499,Female,Adult,1 cub,Yes,Yes,Active,,2022
520,Male,Adult,,No,Yes,Active,,2022
560,Female,Adult,3 cubs,Yes,No,Cast,,2022
630,Male,Adult,,No,Yes,Active,,2022
639,Male,Adult,,Yes,No,Cast,,2022
747,Female,Adult,"2 cubs, 1 lost",Yes,Yes,Active,,2022
769,Male,Adult,,No,Yes,Active,,2022
782,Male,Adult,,Yes,No,Cast - killed,,2022
794,Male,Adult,,No,No,Cast,,2022
800,Female,Adult,"2 cubs, 1 lost; 1 live removal",Yes,No,Removed,,2022
804,Male,Adult,,No,Yes,Active,,2022
819,Male,Adult,,Yes,No,Cast,,2022
856,Male,Adult,,No,Yes,Active,,2022
864,Female,Adult,2 cubs,Yes,Yes,Active,,2022
881,Male,Adult,,Yes,No,Cast,,2022
883,Female,Adult,3 cubs,Yes,Yes,Active,,2022
886,Female,Adult,1 yearling,Yes,Yes,Active,,2022
896,Female,Adult,2 2-yr-olds weaned,Yes,Yes,Active,,2022
906,Female,Adult,1 cub,Yes,No,Cast,,2022
908,Male,Adult,,Yes,Yes,Active,,2022
911,Female,Adult,None,Yes,No,Probable battery failure,,2022
912,Female,Adult,2 cubs,Yes,Yes,Active,,2022
913,Female,Adult,3 cubs,Yes,No,Cast,,2022
938,Male,Adult,,No,Yes,Active,,2022
940,Male,Adult,,Yes,No,Cast,,2022
942,Female,Adult,2 yearlings,No,Yes,Active,,2022
948,Female,Adult,"2 yearlings, 2 lost?",No,Yes,Active,,2022
949,Female,Adult,2 yearlings,Yes,Yes,Active,,2022
952,Female,Adult,"1 2-year-old, weaned",Yes,Yes,Active,,2022
953,Male,Adult,,Yes,No,Cast,,2022
967,Male,Adult,,Yes,Yes,Active,,2022
970,Male,Adult,,Yes,No,Cast,,2022
976,Female,Adult,Not observed,Yes,No,Cast,,2022
980,Female,Adult,"2 cubs, 2 lost",Yes,Yes,Active,,2022
981,Female,Adult,None,Yes,Yes,Active,,2022
994,Male,Adult,,No,Yes,Active,,2022
997,Male,Adult,,Yes,No,Cast,,2022
999,Female,Adult,None,Yes,Yes,Active,,2022
1003,Female,Adult,Not observed,No,No,Cast,,2022
1007,Male,Adult,,Yes,Yes,Active,,2022
1009,Female,Adult,None,Yes,No,Cast,,2022
1012,Female,Subadult,None,Yes,No,Cast,,2022
1013,Female,Adult,"1 cub, lost",Yes,No,Cast,,2022
1016,Male,Adult,,Yes,No,Cast,,2022
1018,Female,Adult,None,Yes,No,Cast,,2022
1019,Male,Adult,,Yes,Yes,Active,,2022
1023,Male,Adult,,Yes,No,Cast,,2022
1025,Female,Adult,None,Yes,Yes,Active,,2022
1027,Female,Adult,2 2-yr-olds weaned,Yes,Yes,Active,,2022
1030,Male,Adult,,Yes,No,Cast,,2022
1031,Female,Adult,"2 cubs, 2 lost",Yes,Yes,Active,,2022
1032,Female,Adult,"2 cubs, 1 lost",Yes,Yes,Active,,2022
1033,Male,Adult,,Yes,Yes,Active,,2022
1034,Female,Adult,Not observed,Yes,No,Cast,,2022
1035,Female,Adult,None,Yes,Yes,Active,,2022
1038,Female,Subadult,None,Yes,Yes,Active,,2022
1039,Male,Adult,,Yes,No,Cast,,2022
1040,Male,Adult,,Yes,No,Cast,,2022
1041,Female,Adult,None,Yes,Yes,Active,,2022
1042,Female,Adult,"3 cubs, 3 lost",Yes,No,Cast,,2022
1044,Female,Subadult,None,Yes,Yes,Active,,2022
1045,Male,Adult,,No,Yes,Active,,2022
1046,Female,Subadult,None,Yes,Yes,Active,,2022
1050,Male,Adult,,Yes,No,Removed,,2022
1051,Male,Subadult,,Yes,Yes,Active,,2022
1052,Male,Adult,,Yes,No,Dead,,2022
1053,Male,Adult,,Yes,Yes,Active,,2022
1054,Female,Adult,2 yearlings,Yes,Yes,Active,,2022
1055,Male,Adult,,Yes,No,Cast,,2022
1056,Male,Subadult,,,,Active,,2022
1057,Male,Subadult,,Yes,No,Cast - removed,,2022
1058,Male,Subadult,,Yes,No,Cast,,2022
1059,Male,Adult,,No,Yes,Active,,2022
1060,Male,Adult,,No,Yes,Active,,2022
1061,Male,Adult,,No,Yes,Active,,2022
1062,Female,Adult,None,No,Yes,Active,,2022
1063,Female,Subadult,None,No,Yes,Active,,2022
1064,Female,Subadult,None,No,No,Cast,,2022
1065,Female,Subadult,None,No,Yes,Active,,2022
1066,Male,Adult,,No,Yes,Active,,2022
1067,Male,Adult,,No,Yes,Active,,2022
1068,Male,Subadult,,No,Yes,Active,,2022
1069,Male,Subadult,,No,Yes,Active,,2022
1070,Female,Adult,None,No,Yes,Active,,2022
1071,Female,Subadult,None,No,Yes,Active,,2022
1072,Female,Subadult,None,No,Yes,Active,,2022
1073,Female,Subadult,None,No,Yes,Active,,2022
1074,Male,Subadult,,No,Yes,Active,,2022
1075,Male,Adult,,No,Yes,Active,,2022
1076,Female,Adult,2 yearlings,No,Yes,Active,,2022
1077,Male,Subadult,,No,Yes,Active,,2022
1078,Male,Adult,,No,Yes,Active,,2022
1079,Male,Subadult,,No,Yes,Active,,2022
1080,Male,Adult,,No,Yes,Active,,2022
1081,Female,Subadult,None,No,No,Cast,,2022
1082,Female,Yearling,None,No,No,Cast,,2022
1083,Male,Adult,,No,Yes,Active,,2022
1084,Female,Adult,Not observed,No,Yes,Active,,2022
1085,Male,Adult,,No,Yes,Active,,2022
1086,Female,Adult,None,No,Yes,Active,,2022
1087,Male,Adult,,No,Yes,Active,,2022
1088,Male,Adult,,No,No,Cast,,2022
1089,Female,Adult,"2 cubs, 2 removed",No,No,Removed,,2022
1090,Male,Cub,,No,Yes,Active,,2022
1091,Male,Cub,,No,Yes,Active,,2022
373,Male,Adult,,Yes,No,Cast,,2021
394,Male,Adult,,No,No,Cast - Died,,2021
409,Female,Adult,3 cubs,Yes,Yes,Active,,2021
424,Male,Adult,,No,Yes,Active,,2021
460,Male,Adult,,Yes,Yes,Active,,2021
476,Female,Adult,"1 cub, lost",No,Yes,Active,,2021
481,Female,Adult,"2 cubs, 2 lost",Yes,Yes?,Active,,2021
499,Female,Adult,None,Yes,Yes,Active,,2021
531,Female,Adult,None seen,No,No,Cast,,2021
538,Male,Adult,,No,No,Cast,,2021
556,Male,Adult,,No,No,Cast,,2021
560,Female,Adult,None seen,No,Yes,Active,,2021
566,Male,Adult,,No,No,Cast,,2021
635,Male,Adult,,No,No,Cast,,2021
639,Male,Adult,,No,Yes,Active,,2021
686,Female,Adult,"3 cubs, 2 lost (naturally), 1 unknown",Yes,No,Killed,,2021
695,Male,Adult,,Yes,No,Cast,,2021
706,Female,Adult,3 cubs,No,No,Cast,,2021
713,Male,Adult,,No,No,Cast,,2021
727,Male,Adult,,Yes,No,Cast - died,,2021
734,Female,Adult,2 cubs,Yes,Yes,Active,,2021
747,Female,Adult,"1 yearling, lost",Yes,Yes,Active,,2021
749,Female,Adult,None,No,No,Cast,,2021
782,Male,Adult,,No,Yes,Active,,2021
800,Female,Adult,None,No,Yes,Active,,2021
812,Male,Adult,,Yes,No,Cast,,2021
819,Male,Adult,,Yes,Yes,Active,,2021
864,Female,Adult,None,No,Yes,Active,,2021
881,Male,Adult,,Yes,Yes,Active,,2021
883,Female,Adult,None,Yes,Yes,Active,,2021
885,Male,Adult,,No,No,Cast,,2021
886,Female,Adult,1 cub,No,Yes,Active,,2021
887,Male,Adult,,No,No,Cast,,2021
896,Female,Adult,2 yearlings,Yes,Yes,Active,,2021
899,Female,Adult,1 cub,Yes,No,Killed,,2021
906,Female,Adult,None,No,Yes,Active,,2021
908,Male,Adult,,No,Yes,Active,,2021
909,Female,Adult,"2 2-yr-old, weaned",Yes,No,Cast,,2021
911,Female,Adult,"2 cubs, 2 lost",Yes,Yes,Active,,2021
912,Female,Adult,None,No,Yes,Active,,2021
913,Female,Adult,"1 yearling, lost",Yes,Yes,Active,,2021
914,Female,Adult,"3 cubs, 3 lost?",Yes,No,Killed,,2021
917,Male,Adult,,Yes,No,Cast,,2021
926,Female,Adult,2 cubs,Yes,Yes,Active,,2021
930,Female,Adult,2 cubs,Yes,No,Cast,,2021
940,Male,Adult,,No,Yes,Active,,2021
948,Female,Adult,"3 cubs, 1 lost",Yes,Yes,Active,,2021
949,Female,Adult,2 cubs,Yes,Yes,Active,,2021
952,Female,Adult,"2 yearlings, 1 lost",Yes,Yes,Active,,2021
953,Male,Adult,,No,Yes,Active,,2021
956,Female,Adult,1 yearling,Yes,Yes,Active,,2021
962,Female,Adult,"1 cub, lost",Yes,No,Cast - removed,,2021
966,Female,Adult,"2 cubs, 2 lost",Yes,No,Cast,,2021
967,Male,Adult,,Yes,Yes,Active,,2021
969,Female,Adult,None,Yes,No,Unknown,,2021
970,Male,Adult,,No,Yes,Active,,2021
974,Female,Adult,None,Yes,No,Removed,,2021
976,Female,Adult,"1 cub, lost",Yes,Yes,Active,,2021
978,Male,Adult,,Yes,Yes,Probable battery failure,,2021
979,Female,Adult,2 yearlings,Yes,No,Cast,,2021
980,Female,Adult,None,Yes,Yes,Active,,2021
981,Female,Subadult,None,Yes,Yes,Active,,2021
991,Male,Adult,,Yes,No,Removed,,2021
992,Female,Subadult,None,Yes,No,Cast,,2021
994,Male,Subadult,,Yes,No,Cast,,2021
997,Male,Adult,,Yes,Yes,Active,,2021
999,Female,Subadult,None,Yes,Yes,Active,,2021
1000,Male,Subadult,,Yes,No,Probable battery failure,,2021
1001,Female,Subadult,Not observed,No,No,Cast,,2021
1002,Male,Adult,,Yes,No,Cast,,2021
1003,Female,Adult,"2 cubs, 2 lost",Yes,Yes,Active,,2021
1007,Male,Adult,,Yes,Yes,Active,,2021
1008,Male,Adult,,Yes,No,Cast,,2021
1009,Female,Adult,None,Yes,Yes,Active,,2021
1010,Male,Adult,,Yes,No,Cast,,2021
1012,Female,Subadult,None,Yes,Yes,Active,,2021
1013,Female,Adult,"1 yearling, lost",Yes,Yes,Active,,2021
1016,Male,Subadult,,Yes,Yes,Active,,2021
1017,Female,Subadult,None,Yes,No,Removed,,2021
1018,Female,Adult,"1 2-year-old, weaned",Yes,Yes,Active,,2021
1019,Male,Adult,,Yes,Yes,Active,,2021
1020,Male,Adult,,No,No,Cast,,2021
1021,Male,Adult,,No,No,Cast,,2021
1022,Male,Subadult,,No,No,Removed,,2021
1023,Male,Subadult,,No,Yes,Active,,2021
1024,Male,Adult,,No,Yes,Unknown,,2021
1025,Female,Adult,None,No,Yes,Active,,2021
1026,Male,Adult,,No,No,Cast,,2021
1027,Female,Adult,2 yearlings,No,Yes,Active,,2021
1028,Male,Subadult,,No,No,Removed,,2021
