Bear,Sex,Age,Date,General Location,Capture type,Release Site,Handler,Year
1050,Male,Adult,04/25/2022,"Greybull River, Pr-WY",Management,Removed (202203),WYGFD,2022
1059,Male,Adult,05/04/2022,"South Fork Shoshone, Pr-WY",Management,Transported,WYGFD,2022
1060,Male,Adult,05/21/2022,"Beam Gulch, SNF",Research,On site,WYGFD,2022
1061,Male,Adult,05/21/2022,"Gravelbar Crk, SNF",Research,On site,WYGFD,2022
1061,Male,Adult,05/29/2022,"Gravelbar Crk, SNF",Research,On site,WYGFD,2022
989,Female,Adult,05/21/2022,"Crow Crk, CTNF",Management,Removed (202205),IDFG,2022
Unm202201,Male,Yearling,05/21/2022,"Crow Crk, CTNF",Management,Removed (202206),IDFG,2022
1062,Female,Adult,05/22/2022,"Sunlight Crk, SNF",Research,On site,WYGFD,2022
516,Male,Adult,05/24/2022,"Beam Gulch, SNF",Research,On site,WYGFD,2022
998,Female,Adult,05/25/2022,"Crow Crk, CTNF",Management,Removed (202209),IDFG,2022
Unm202202,Female,Yearling,05/24/2022,"Crow Crk, CTNF",Management,Removed (202210),IDFG,2022
Unm202203,Male,Yearling,05/24/2022,"Crow Crk, CTNF",Management,Removed (202211),IDFG,2022
994,Male,Adult,05/26/2022,"Snake River, GTNP",Research,On site,IGBST,2022
G275,Male,Subadult,05/27/2022,"Ghost Crk, SNF",Research,On site,WYGFD,2022
G275,Male,Subadult,05/30/2022,"Ghost Crk, SNF",Research,On site,WYGFD,2022
G276,Male,Adult,05/28/2022,"Sunlight Crk, SNF",Research,On site,WYGFD,2022
1063,Female,Subadult,05/29/2022,"Pilgrim Crk, GTNP",Research,On site,IGBST,2022
1063,Female,Subadult,06/06/2022,"Snake River, GTNP",Research,On site,IGBST,2022
1064,Female,Subadult,06/03/2022,"Pacific Crk, GTNP",Research,On site,IGBST,2022
1065,Female,Subadult,06/09/2022,"Deadman Crk, SNF",Research,On site,WYGFD,2022
1019,Male,Adult,06/17/2022,"Snake River, GTNP",Research,On site,IGBST,2022
1066,Male,Adult,06/20/2022,"Lizard Crk, GTNP",Research,On site,IGBST,2022
Unm202204,Female,Subadult,06/21/2022,"Beartooth Crk, SNF",Management,Removed (202224),IGBST,2022
794,Male,Adult,06/22/2022,"Pilgrim Crk, GTNP",Research,On site,IGBST,2022
Unm202205,Male,Adult,06/24/2022,"Sheep Crk, Pr-WY",Management,Removed (202225),WYGFD,2022
940,Male,Adult,06/27/2022,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,07/06/2022,"Howard Crk, CTNF",Research,On site,IDFG,2022
1067,Male,Adult,07/27/2022,"East Dry Crk, CTNF",Research,On site,IDFG,2022
1068,Male,Subadult,07/08/2022,"Wagon Crk, BTNF",Management,Transported,WYGFD,2022
G277,Male,Subadult,07/09/2022,"Henrys Fork, CTNF",Research,On site,IDFG,2022
G277,Male,Subadult,07/19/2022,"Enget Crk, CTNF",Research,On site,IDFG,2022
G277,Male,Subadult,08/24/2022,"Enget Crk, CTNF",Research,On site,IDFG,2022
1057,Male,Subadult,07/12/2022,"Boulder Crk, Pr-WY",Management,Removed (202226),WYGFD,2022
Unm202206,Male,Subadult,07/13/2022,"Slab Crk, Pr-WY",Management,Removed (202227),WYGFD,2022
1051,Male,Subadult,07/13/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1051,Male,Subadult,08/25/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1069,Male,Subadult,07/16/2022,"East Fork Wind River, Pr-WY",Management,Transported,WYGFD,2022
1070,Female,Adult,07/16/2022,"North Fork Fish Crk, BTNF",Research,On site,WYGFD,2022
1071,Female,Subadult,07/16/2022,"Red Crk, BTNF",Research,On site,WYGFD,2022
419,Male,Adult,07/16/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1072,Female,Subadult,07/17/2022,"Hereford Crk, BTNF",Research,On site,WYGFD,2022
Unm202207,Unk,Yearling,07/16/2022,"East Dry Crk, CTNF",Research,On site,IDFG,2022
Unm202208,Unk,Yearling,07/18/2022,"Henrys Fork, CTNF",Research,On site,IDFG,2022
938,Male,Adult,07/19/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1073,Female,Subadult,07/20/2022,"Deadman Crk, Pr-MT",Research,On site,IGBST,2022
1073,Female,Subadult,08/03/2022,"Deadman Crk, Pr-MT",Research,On site,IGBST,2022
1074,Male,Subadult,07/21/2022,"Papoose Crk, BTNF",Research,On site,WYGFD,2022
1075,Male,Adult,07/22/2022,"North Fork Fish Crk, BTNF",Research,On site,WYGFD,2022
1038,Female,Subadult,07/24/2022,"East Fork Cream Crk, CGNF",Research,On site,IGBST,2022
1038,Female,Subadult,07/29/2022,"Enget Crk, CTNF",Research,On site,IDFG,2022
1038,Female,Subadult,08/22/2022,"East Fork Cream Crk, CGNF",Research,On site,IGBST,2022
1076,Female,Adult,07/24/2022,"Cottonwood Crk, BTNF",Research,On site,WYGFD,2022
Unm202209,Female,Adult,07/27/2022,"Curry Crk, Pr-WY",Management,On site,WYGFD,2022
373,Male,Adult,07/30/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1077,Male,Subadult,07/31/2022,"Curry Crk, Pr-WY",Management,Transported,WYGFD,2022
1078,Male,Adult,08/01/2022,"South Fork Fish Crk, BTNF",Management,Transported,WYGFD,2022
Unm202210,Male,Subadult,08/01/2022,"Slab Crk, Pr-WY",Management,Removed (202228),WYGFD,2022
1079,Male,Subadult,08/07/2022,"Howard Crk, CTNF",Research,On site,IDFG,2022
942,Female,Adult,08/07/2022,"East Dry Crk, CTNF",Research,On site,IDFG,2022
1080,Male,Adult,08/10/2022,"Tepee Crk, CGNF",Research,On site,IGBST,2022
856,Male,Adult,08/14/2022,"Rock Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,08/16/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1082,Female,Subadult,08/20/2022,"Ingals Crk, CTNF",Research,On site,IDFG,2022
1081,Female,Subadult,08/18/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202211,Unk,Yearling,08/18/2022,"Bear Crk, CTNF",Research,On site,IDFG,2022
1083,Male,Subadult,08/20/2022,"Enget Crk, CTNF",Research,On site,IDFG,2022
Unm202212,Female,Subadult,08/20/2022,"Tom Miner, ST-MT",Management,Removed (202229),WS/MTFWP,2022
1045,Male,Adult,08/21/2022,"Rock Crk, CTNF",Research,On site,IDFG,2022
1084,Female,Adult,08/24/2022,"Tepee Crk, CGNF",Research,On site,IGBST,2022
1085,Male,Adult,08/26/2022,"Stephens Crk, YNP",Research,On site,IGBST,2022
699,Male,Adult,08/30/2022,"Meadow Crk, Pr-WY",Management,Removed (202230),WYGFD,2022
769,Male,Adult,08/31/2022,"Stephens Crk, YNP",Research,On site,IGBST,2022
1086,Female,Adult,09/02/2022,"Tepee Crk, BTNF",Management,On site,WYGFD,2022
1087,Male,Adult,09/04/2022,"Bridge Crk, YNP",Research,On site,IGBST,2022
1087,Male,Adult,09/05/2022,"Arnica Crk, YNP",Research,On site,IGBST,2022
514,Male,Adult,09/10/2022,"Pacific Crk, BTNF",Management,Removed (202232),WYGFD,2022
630,Male,Adult,09/15/2022,"Cascade Crk, YNP",Research,On site,IGBST,2022
630,Male,Adult,09/17/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
812,Male,Adult,09/17/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
520,Male,Adult,09/19/2022,"Cascade Crk, YNP",Research,On site,IGBST,2022
1088,Male,Adult,09/19/2022,"Sharp Crk, Pr-MT",Management,Transported,MTFWP,2022
800,Female,Adult,09/20/2022,"Yellowstone River, Pr-MT",Management,Removed (202233),MTFWP,2022
Unm202213,Female,Cub,09/21/2022,"Yellowstone River, Pr-MT",Management,Removed (202234),MTFWP,2022
G190,Female,Adult,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202236),WYGFD,2022
Unm202214,Male,Cub,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202237),WYGFD,2022
Unm202215,Male,Cub,09/27/2022,"Greybull River, Pr-WY",Management,Removed (202238),WYGFD,2022
Unm202216,Male,Adult,10/05/2022,"South Fork Shoshone, Pr-WY",Management,Removed (202239),WYGFD,2022
804,Male,Adult,10/06/2022,"Antelope Crk, YNP",Research,On site,IGBST,2022
Unm202217,Male,Adult,10/08/2022,"Greybull River, Pr-WY",Management,Removed (202240),WYGFD,2022
314,Male,Adult,10/12/2022,"Henrys Fork, CTNF",Research,On site,IDFG,2022
1089,Female,Adult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
1089,Female,Adult,11/09/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202242),IDFG,2022
G279,Male,Subadult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
6279,Male,Subadult,11/09/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202244),IDFG,2022
Unm202218,Male,Subadult,10/17/2022,"Yellowstone River, Pr-MT",Management,Transported,MTFWP,2022
Unm202218,Male,Subadult,11/10/2022,"Middle Leigh Crk, Pr-ID",Management,Removed (202245),IDFG,2022
416,Female,Adult,10/20/2022,"Gallatin River, Pr-MT",Management,Removed (202241),MTFWP,2022
1090,Male,Cub,10/20/2022,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
1091,Male,Cub,10/20/2022,"Gallatin River, Pr-MT",Management,Transported,MTFWP,2022
845,Male,Adult,12/05/2022,"Greybull River, Pr-WY",Management,Removed (202247),WYGFD,2022
202101,Female,Yearling,04/06/2021,"South Fork Shoshone River, Pr WY",Management,Removed (202101),WYGFD,2021
1020,Male,Adult,04/11/2021,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
449,Male,Adult,04/17/2021,"Madison River, CGNF",Management,Removed (202104),MTFWP,2021
1021,Male,Adult,04/26/2021,"Rawhide Crk, Pr-WY",Management,Transported,WYGFD,2021
